p1	p2
小马悲痛地望着他。	小马伤心地望着他。
门响了，别是他回来了。	门响了，可能是他回来了。
把窗户开一下吧！	打开一下窗户吧！
村民自发组织起巡逻队，以防不测。	村民自发组织起巡逻队，以免不测。
他尽管身体不好，可是仍然坚持工作。	虽然他身体不好，但是仍然坚持工作。
咱俩谁跟谁呀。	我们不分彼此。
这个国家的政府，一方面谴责美国对伊拉克的军事占领，另一方面又主动向美国控制下的伊拉克临时管理委员会示好。	这个国家的政府，一方面谴责美国对伊拉克的军事占领，另一方面又向美国控制下的伊拉克临时管理委员会主动示好。
宁可血战到底，也不放弃每一寸阵地。	宁血战到底，也不放弃每一寸阵地。
那幢楼高不了。	那幢楼不高。
他花光了钱。	钱被他花光了。
我写好信的时候她已经睡着了。	她睡着以后，我才些好了信。
风停了，雨住了。	风停了后，雨住了。
这孩子十分活泼。	这孩子很活泼。
轮番的轰炸后，这个美丽的小镇被夷为平地。	这个美丽的小镇被轮番的轰炸夷了为平地。
不管你说什么，他总是听不进去。	无论你说什么，他都听不进去。
再给你我拿瓶啤酒！	给你我再拿瓶啤酒！
那个教练高高的鼻子。	那个教练有高高的鼻子。
我们无论评价什么样的历史人物，都必须全面的看待，不但要看到他们的历史功绩和贡献，而且要看到他们的过失和负面影响，否则，就不可能做出全面、客观的评价。	我们不管评价什么样的历史人物，总是必须全面的看待，不光要看到他们的历史功绩和贡献，也要看到他们的过失和负面影响，否则，就不可能做出全面、客观的评价。
得一个奖乐半天。	得一个奖乐半天。
小猪让老虎叼走了。	老虎叼走了小猪。
他有的是书。	他有很多书。
她坚决不去，除非你陪她去。	除非你陪她去，否则她坚决不去。
我看见了你的钢笔。	你的钢笔我看见了。
他没有学会。	他没学会。
闹得个满城风雨。	闹得人人皆知。
只要她一去接电话，孩子就会大哭大闹。	只要她一去接电话，孩子便会大哭大闹。
这样的处理打破了历来的规矩。	这样的做法破坏了历来的规矩。
她没有半点私心。	她不可能有一点私心。
不几天事情就办完了。	事情几天就办完了。
我借给了小王两本小说。	小王问我借了两本小说。
我去年到过泰国。	去年我去过泰国。
我们今天上中文课。	今天我们上中文课。
他爸爸嘛，从早到晚都不沾家。	从早到晚他爸爸都不在家。
人人都看见了。	所有人都看见了啊。
卫星定位信号经常被干扰。	有什么东西经常干扰卫星定位信号。
句句都说到了我的心窝里。	每句都说到了我的心坎里。
