p1	p2
键盘虽然比标准键盘小一些，但使用起来还是很愉快的。	键盘虽然比标准键盘小一些，但使用起来还是很愉快的。
键盘虽然比标准键盘小一些，但使用起来还是很愉快的。	键盘虽然体积小，但使用起来却是一种乐趣
键盘虽然体积小，但使用起来却是一种乐趣	说到这里，键盘的尺寸比较大，是普通键盘的92%，在上面写较长的文字是没有问题的。
键盘虽然体积小，但使用起来却是一种乐趣	键盘，超过90%的标准尺寸，足够大了。
键盘虽然体积小，但使用起来却是一种乐趣	键盘足够大，可以轻松地进行触摸输入。
键盘虽然体积小，但使用起来却是一种乐趣	说到打字，键盘很棒，几乎全尺寸。
键盘虽然体积小，但使用起来却是一种乐趣	它的90%大小的键盘不需要太长时间来适应。
键盘虽然体积小，但使用起来却是一种乐趣	键盘只比普通的小一点，所以很舒服。
键盘虽然体积小，但使用起来却是一种乐趣	键盘几乎是全尺寸的，而且很舒服，可以连续打字几个小时。
说到这里，键盘的尺寸比较大，是普通键盘的92%，在上面写较长的文字是没有问题的。	键盘功能正常，但需要一点时间才能使用。
说到这里，键盘的尺寸比较大，是普通键盘的92%，在上面写较长的文字是没有问题的。	键盘需要一点时间来适应。
说到这里，键盘的尺寸比较大，是普通键盘的92%，在上面写较长的文字是没有问题的。	键盘一开始感觉很好笑，但你已经习惯了。
键盘，超过90%的标准尺寸，足够大了。	对于常规打字，键盘工作得很好。
键盘，超过90%的标准尺寸，足够大了。	很好的打字键盘。
键盘足够大，可以轻松地进行触摸输入。	对于像我这样手大的人来说，键盘真是出人意料的好。
键盘足够大，可以轻松地进行触摸输入。	我的手很大，在键盘上有一点时间，我正在轻松地完成文字处理工作。
键盘足够大，可以轻松地进行触摸输入。	我5尺10寸，手很大，使用键盘没有问题。
键盘足够大，可以轻松地进行触摸输入。	键盘很漂亮，我的手很大，我犯的错误也少很多。
说到打字，键盘很棒，几乎全尺寸。	键盘使用起来非常舒适。
说到打字，键盘很棒，几乎全尺寸。	键盘的舒适性也给我留下了深刻的印象。
它的90%大小的键盘不需要太长时间来适应。	这个屏幕很容易看。
它的90%大小的键盘不需要太长时间来适应。	屏幕很容易看。
它的90%大小的键盘不需要太长时间来适应。	这篇课文在我看来很容易。
键盘只比普通的小一点，所以很舒服。	我没有经历过眼睛疲劳。
键盘只比普通的小一点，所以很舒服。	以我的经验来看，眼睛疲劳是完全不存在的。
键盘几乎是全尺寸的，而且很舒服，可以连续打字几个小时。	电子墨水在眼睛上很舒服。
键盘几乎是全尺寸的，而且很舒服，可以连续打字几个小时。	电子墨水几乎不会使你的眼睛疲劳。
键盘功能正常，但需要一点时间才能使用。	随着时间的推移，我只是简单地增加角色的大小，以减轻眼睛疲劳。
键盘功能正常，但需要一点时间才能使用。	它也很容易使字体更大，每当必要的时候，比如当我的眼睛累了。
键盘需要一点时间来适应。	我也很喜欢它显示我的速度和张贴的速度限制的方式。
键盘需要一点时间来适应。	我喜欢它告诉你速度限制和你走得有多快的方式。
键盘需要一点时间来适应。	喜欢速度限制和实际速度指标。
键盘一开始感觉很好笑，但你已经习惯了。	指示您所在道路的标示限速
键盘一开始感觉很好笑，但你已经习惯了。	屏幕上张贴的限速也很酷。
键盘一开始感觉很好笑，但你已经习惯了。	最后，你可以立即看到每一条道路的限速。
键盘一开始感觉很好笑，但你已经习惯了。	告诉你街道限速
对于常规打字，键盘工作得很好。	显示主要道路的限速！
对于常规打字，键盘工作得很好。	它确切地知道所有主要路线的限速是多少。
很好的打字键盘。	房间里有免费的Wifi，晚上还有免费的酒会。
很好的打字键盘。	免费上网和每天下午的快乐时光。
很好的打字键盘。	每天下午免费wifi和欢乐时光美酒！
很好的打字键盘。	下午的葡萄酒和奶酪是一个不错的奖励，因为是免费的互联网。
对于像我这样手大的人来说，键盘真是出人意料的好。	晚上5点到6点的免费品酒会是一个很好的主意，它能让客人聚在一起互相交流。
对于像我这样手大的人来说，键盘真是出人意料的好。	我们还被告知下午5点有免费酒会，这是个好主意，因为这意味着你可以和其他客人聊天。
对于像我这样手大的人来说，键盘真是出人意料的好。	免费的快乐时光真的让这次访问格外特别，我们在这7天的逗留中遇到了很多很棒的人。
对于像我这样手大的人来说，键盘真是出人意料的好。	每晚的免费酒会是一个很好的方式来满足人们，找出什么是值得一看，什么是不值得的。
对于像我这样手大的人来说，键盘真是出人意料的好。	他们有一个快乐的时刻，在5点到6点之间，你们可以喝上几杯免费饮料，这样你们就有机会认识其他的旅行者。
对于像我这样手大的人来说，键盘真是出人意料的好。	一个下午的免费啤酒、葡萄酒和小吃真是太棒了，可以帮你交换小费，和其他客人聊天。
对于像我这样手大的人来说，键盘真是出人意料的好。	大堂每天下午5点到6点有免费的品酒会，你会遇到来自世界各地的许多非常好的人。
对于像我这样手大的人来说，键盘真是出人意料的好。	晚上从5点到6点的葡萄酒时间也不错，免费的葡萄酒和小吃还有机会和其他客人谈谈参观、吃饭等地方。
我的手很大，在键盘上有一点时间，我正在轻松地完成文字处理工作。	在漫长的一天外出后，每天晚上举行的免费酒会很受欢迎。
我的手很大，在键盘上有一点时间，我正在轻松地完成文字处理工作。	每晚的免费品酒会是一个美妙的额外活动，在漫长的一天观光和晚上外出之间欢迎放松。
我5尺10寸，手很大，使用键盘没有问题。	晚上有极好的免费酒会。
我5尺10寸，手很大，使用键盘没有问题。	下午晚些时候的免费酒会真的很不错，我们非常享受。
我5尺10寸，手很大，使用键盘没有问题。	下午5点到6点之间提供的免费葡萄酒和小口小吃真是太棒了。
键盘很漂亮，我的手很大，我犯的错误也少很多。	酒店为所有拥有笔记本电脑的客人提供免费wifi。
键盘很漂亮，我的手很大，我犯的错误也少很多。	我个人很感激酒店的免费网络服务。
键盘很漂亮，我的手很大，我犯的错误也少很多。	房间内提供免费无线互联网，棒极了！
键盘很漂亮，我的手很大，我犯的错误也少很多。	这家旅馆有免费的无线电话。
键盘很漂亮，我的手很大，我犯的错误也少很多。	整个酒店都提供免费wifi，一切正常。
键盘使用起来非常舒适。	下午5点至6点提供免费葡萄酒和混合饮料。
键盘使用起来非常舒适。	早晚免费品酒。
键盘的舒适性也给我留下了深刻的印象。	但这里没有免费的互联网。
键盘的舒适性也给我留下了深刻的印象。	上网不是免费的。
这个屏幕很容易看。	早上的免费咖啡和晚上的酒会都是会见其他客人的好机会。
这个屏幕很容易看。	免费的早餐咖啡也很受欢迎。
这个屏幕很容易看。	实际上，客人在早上喝咖啡的时候会互相交谈，下午5点有空喝点酒。
屏幕很容易看。	不过，我们还是利用了大厅每天早上提供的免费咖啡和比斯科蒂。
屏幕很容易看。	早上在大堂喝免费咖啡很不错。
屏幕很容易看。	不过，我们很早就开始使用免费的茶和咖啡。
这篇课文在我看来很容易。	早上提供免费咖啡，下午提供免费啤酒和葡萄酒，您还能要求什么？
这篇课文在我看来很容易。	哦，是的，早餐有免费的咖啡和比斯科堤，下午有红酒！
这篇课文在我看来很容易。	早餐时间有免费的咖啡、茶和小比斯科蒂，最重要的是，从下午5点到6点，你可以得到一个免费的品酒招待会，只要你不参加p
这篇课文在我看来很容易。	早上的咖啡和比斯科蒂是一个很好的接触，以及所有你可以喝免费葡萄酒小时在晚上。
我没有经历过眼睛疲劳。	我们去参加免费酒会，玩得很开心。
