p1	p2
键盘虽然比标准键盘小一些，但使用起来还是很愉快的。	键盘虽然体积小，但使用起来却是一种乐趣
键盘虽然体积小，但使用起来却是一种乐趣	键盘虽然比标准键盘小一些，但使用起来还是很愉快的。
说到这里，键盘的尺寸比较大，是普通键盘的92%，在上面写较长的文字是没有问题的。	键盘，超过90%的标准尺寸，足够大了。
说到这里，键盘的尺寸比较大，是普通键盘的92%，在上面写较长的文字是没有问题的。	键盘足够大，可以轻松地进行触摸输入。
说到这里，键盘的尺寸比较大，是普通键盘的92%，在上面写较长的文字是没有问题的。	说到打字，键盘很棒，几乎全尺寸。
说到这里，键盘的尺寸比较大，是普通键盘的92%，在上面写较长的文字是没有问题的。	它的90%大小的键盘不需要太长时间来适应。
说到这里，键盘的尺寸比较大，是普通键盘的92%，在上面写较长的文字是没有问题的。	键盘只比普通的小一点，所以很舒服。
说到这里，键盘的尺寸比较大，是普通键盘的92%，在上面写较长的文字是没有问题的。	键盘几乎是全尺寸的，而且很舒服，可以连续打字几个小时。
键盘，超过90%的标准尺寸，足够大了。	说到这里，键盘的尺寸比较大，是普通键盘的92%，在上面写较长的文字是没有问题的。
键盘，超过90%的标准尺寸，足够大了。	键盘足够大，可以轻松地进行触摸输入。
键盘，超过90%的标准尺寸，足够大了。	说到打字，键盘很棒，几乎全尺寸。
键盘，超过90%的标准尺寸，足够大了。	它的90%大小的键盘不需要太长时间来适应。
键盘，超过90%的标准尺寸，足够大了。	键盘只比普通的小一点，所以很舒服。
键盘，超过90%的标准尺寸，足够大了。	键盘几乎是全尺寸的，而且很舒服，可以连续打字几个小时。
键盘足够大，可以轻松地进行触摸输入。	说到这里，键盘的尺寸比较大，是普通键盘的92%，在上面写较长的文字是没有问题的。
键盘足够大，可以轻松地进行触摸输入。	键盘，超过90%的标准尺寸，足够大了。
键盘足够大，可以轻松地进行触摸输入。	说到打字，键盘很棒，几乎全尺寸。
键盘足够大，可以轻松地进行触摸输入。	它的90%大小的键盘不需要太长时间来适应。
键盘足够大，可以轻松地进行触摸输入。	键盘只比普通的小一点，所以很舒服。
键盘足够大，可以轻松地进行触摸输入。	键盘几乎是全尺寸的，而且很舒服，可以连续打字几个小时。
说到打字，键盘很棒，几乎全尺寸。	说到这里，键盘的尺寸比较大，是普通键盘的92%，在上面写较长的文字是没有问题的。
说到打字，键盘很棒，几乎全尺寸。	键盘，超过90%的标准尺寸，足够大了。
说到打字，键盘很棒，几乎全尺寸。	键盘足够大，可以轻松地进行触摸输入。
说到打字，键盘很棒，几乎全尺寸。	它的90%大小的键盘不需要太长时间来适应。
说到打字，键盘很棒，几乎全尺寸。	键盘只比普通的小一点，所以很舒服。
说到打字，键盘很棒，几乎全尺寸。	键盘几乎是全尺寸的，而且很舒服，可以连续打字几个小时。
它的90%大小的键盘不需要太长时间来适应。	说到这里，键盘的尺寸比较大，是普通键盘的92%，在上面写较长的文字是没有问题的。
它的90%大小的键盘不需要太长时间来适应。	键盘，超过90%的标准尺寸，足够大了。
它的90%大小的键盘不需要太长时间来适应。	键盘足够大，可以轻松地进行触摸输入。
它的90%大小的键盘不需要太长时间来适应。	说到打字，键盘很棒，几乎全尺寸。
它的90%大小的键盘不需要太长时间来适应。	键盘只比普通的小一点，所以很舒服。
它的90%大小的键盘不需要太长时间来适应。	键盘几乎是全尺寸的，而且很舒服，可以连续打字几个小时。
键盘只比普通的小一点，所以很舒服。	说到这里，键盘的尺寸比较大，是普通键盘的92%，在上面写较长的文字是没有问题的。
键盘只比普通的小一点，所以很舒服。	键盘，超过90%的标准尺寸，足够大了。
键盘只比普通的小一点，所以很舒服。	键盘足够大，可以轻松地进行触摸输入。
键盘只比普通的小一点，所以很舒服。	说到打字，键盘很棒，几乎全尺寸。
键盘只比普通的小一点，所以很舒服。	它的90%大小的键盘不需要太长时间来适应。
键盘只比普通的小一点，所以很舒服。	键盘几乎是全尺寸的，而且很舒服，可以连续打字几个小时。
键盘几乎是全尺寸的，而且很舒服，可以连续打字几个小时。	说到这里，键盘的尺寸比较大，是普通键盘的92%，在上面写较长的文字是没有问题的。
键盘几乎是全尺寸的，而且很舒服，可以连续打字几个小时。	键盘，超过90%的标准尺寸，足够大了。
键盘几乎是全尺寸的，而且很舒服，可以连续打字几个小时。	键盘足够大，可以轻松地进行触摸输入。
键盘几乎是全尺寸的，而且很舒服，可以连续打字几个小时。	说到打字，键盘很棒，几乎全尺寸。
键盘几乎是全尺寸的，而且很舒服，可以连续打字几个小时。	它的90%大小的键盘不需要太长时间来适应。
键盘几乎是全尺寸的，而且很舒服，可以连续打字几个小时。	键盘只比普通的小一点，所以很舒服。
键盘功能正常，但需要一点时间才能使用。	键盘需要一点时间来适应。
键盘功能正常，但需要一点时间才能使用。	键盘一开始感觉很好笑，但你已经习惯了。
键盘需要一点时间来适应。	键盘功能正常，但需要一点时间才能使用。
键盘需要一点时间来适应。	键盘一开始感觉很好笑，但你已经习惯了。
键盘一开始感觉很好笑，但你已经习惯了。	键盘功能正常，但需要一点时间才能使用。
键盘一开始感觉很好笑，但你已经习惯了。	键盘需要一点时间来适应。
对于常规打字，键盘工作得很好。	很好的打字键盘。
很好的打字键盘。	对于常规打字，键盘工作得很好。
对于像我这样手大的人来说，键盘真是出人意料的好。	我的手很大，在键盘上有一点时间，我正在轻松地完成文字处理工作。
对于像我这样手大的人来说，键盘真是出人意料的好。	我5尺10寸，手很大，使用键盘没有问题。
对于像我这样手大的人来说，键盘真是出人意料的好。	键盘很漂亮，我的手很大，我犯的错误也少很多。
我的手很大，在键盘上有一点时间，我正在轻松地完成文字处理工作。	对于像我这样手大的人来说，键盘真是出人意料的好。
我的手很大，在键盘上有一点时间，我正在轻松地完成文字处理工作。	我5尺10寸，手很大，使用键盘没有问题。
我的手很大，在键盘上有一点时间，我正在轻松地完成文字处理工作。	键盘很漂亮，我的手很大，我犯的错误也少很多。
我5尺10寸，手很大，使用键盘没有问题。	对于像我这样手大的人来说，键盘真是出人意料的好。
我5尺10寸，手很大，使用键盘没有问题。	我的手很大，在键盘上有一点时间，我正在轻松地完成文字处理工作。
我5尺10寸，手很大，使用键盘没有问题。	键盘很漂亮，我的手很大，我犯的错误也少很多。
键盘很漂亮，我的手很大，我犯的错误也少很多。	对于像我这样手大的人来说，键盘真是出人意料的好。
键盘很漂亮，我的手很大，我犯的错误也少很多。	我的手很大，在键盘上有一点时间，我正在轻松地完成文字处理工作。
键盘很漂亮，我的手很大，我犯的错误也少很多。	我5尺10寸，手很大，使用键盘没有问题。
键盘使用起来非常舒适。	键盘的舒适性也给我留下了深刻的印象。
键盘的舒适性也给我留下了深刻的印象。	键盘使用起来非常舒适。
这个屏幕很容易看。	屏幕很容易看。
这个屏幕很容易看。	这篇课文在我看来很容易。
屏幕很容易看。	这个屏幕很容易看。
屏幕很容易看。	这篇课文在我看来很容易。
这篇课文在我看来很容易。	这个屏幕很容易看。
这篇课文在我看来很容易。	屏幕很容易看。
我没有经历过眼睛疲劳。	以我的经验来看，眼睛疲劳是完全不存在的。
以我的经验来看，眼睛疲劳是完全不存在的。	我没有经历过眼睛疲劳。
电子墨水在眼睛上很舒服。	电子墨水几乎不会使你的眼睛疲劳。
电子墨水几乎不会使你的眼睛疲劳。	电子墨水在眼睛上很舒服。
随着时间的推移，我只是简单地增加角色的大小，以减轻眼睛疲劳。	它也很容易使字体更大，每当必要的时候，比如当我的眼睛累了。
它也很容易使字体更大，每当必要的时候，比如当我的眼睛累了。	随着时间的推移，我只是简单地增加角色的大小，以减轻眼睛疲劳。
我也很喜欢它显示我的速度和张贴的速度限制的方式。	我喜欢它告诉你速度限制和你走得有多快的方式。
我也很喜欢它显示我的速度和张贴的速度限制的方式。	喜欢速度限制和实际速度指标。
我喜欢它告诉你速度限制和你走得有多快的方式。	我也很喜欢它显示我的速度和张贴的速度限制的方式。
我喜欢它告诉你速度限制和你走得有多快的方式。	喜欢速度限制和实际速度指标。
喜欢速度限制和实际速度指标。	我也很喜欢它显示我的速度和张贴的速度限制的方式。
喜欢速度限制和实际速度指标。	我喜欢它告诉你速度限制和你走得有多快的方式。
指示您所在道路的标示限速	屏幕上张贴的限速也很酷。
指示您所在道路的标示限速	最后，你可以立即看到每一条道路的限速。
指示您所在道路的标示限速	告诉你街道限速
屏幕上张贴的限速也很酷。	指示您所在道路的标示限速
屏幕上张贴的限速也很酷。	最后，你可以立即看到每一条道路的限速。
屏幕上张贴的限速也很酷。	告诉你街道限速
最后，你可以立即看到每一条道路的限速。	指示您所在道路的标示限速
最后，你可以立即看到每一条道路的限速。	屏幕上张贴的限速也很酷。
最后，你可以立即看到每一条道路的限速。	告诉你街道限速
告诉你街道限速	指示您所在道路的标示限速
告诉你街道限速	屏幕上张贴的限速也很酷。
告诉你街道限速	最后，你可以立即看到每一条道路的限速。
显示主要道路的限速！	它确切地知道所有主要路线的限速是多少。
它确切地知道所有主要路线的限速是多少。	显示主要道路的限速！
房间里有免费的Wifi，晚上还有免费的酒会。	免费上网和每天下午的快乐时光。
房间里有免费的Wifi，晚上还有免费的酒会。	每天下午免费wifi和欢乐时光美酒！
房间里有免费的Wifi，晚上还有免费的酒会。	下午的葡萄酒和奶酪是一个不错的奖励，因为是免费的互联网。
免费上网和每天下午的快乐时光。	房间里有免费的Wifi，晚上还有免费的酒会。
免费上网和每天下午的快乐时光。	每天下午免费wifi和欢乐时光美酒！
免费上网和每天下午的快乐时光。	下午的葡萄酒和奶酪是一个不错的奖励，因为是免费的互联网。
每天下午免费wifi和欢乐时光美酒！	房间里有免费的Wifi，晚上还有免费的酒会。
每天下午免费wifi和欢乐时光美酒！	免费上网和每天下午的快乐时光。
每天下午免费wifi和欢乐时光美酒！	下午的葡萄酒和奶酪是一个不错的奖励，因为是免费的互联网。
下午的葡萄酒和奶酪是一个不错的奖励，因为是免费的互联网。	房间里有免费的Wifi，晚上还有免费的酒会。
下午的葡萄酒和奶酪是一个不错的奖励，因为是免费的互联网。	免费上网和每天下午的快乐时光。
